id,movie_id,image,original_title,title,rating,description,release_year,category_id
1,663712,/b6IRp6Pl2Fsq37r9jFhGoLtaqHm.jpg,Terrifier 2,테리파이어 2,7.1,,2022-10-06,27
2,436270,/mEdMHGy1FfCUc7PskFO0tibm8jp.jpg,Black Adam,블랙 아담,6.9,"기원전 가장 번성하고 위대한 고대 국가였지만 현재는 국제 군사 조직 인터갱의 독재 국가로 전락한 칸다크. 인터갱의 눈을 피해 고대 유물을 찾던 '아드리아나'는 우연히 5000년 동안 잠들어 있던 '블랙 아담'을 깨우게 된다.  엄청난 괴력과 스피드, 방탄 능력과 자유자재의 고공비행, 번개를 쏘는 능력까지. 온몸이 무기인 '블랙 아담'은 자신의 앞을 막아서는 인터갱들을 모조리 쓸어버리고 칸다크 국민들은 이에 열광한다. 한편, 그의 폭주를 막기 위해 호크맨, 닥터 페이트, 아톰 스매셔, 사이클론으로 구성된 히어로 군단 '저스티스 소사이어티'가 칸다크에 나타나는데...",2022-10-19,28
3,354912,/6AANwKhjIEVyya95oW4IA6joL1Z.jpg,Coco,코코,8.2,"미구엘은 멕시코의 자랑인 에르네스토 델라 크루즈 같은 뮤지션이 되길 꿈꾸지만 미구엘 집안 사람들에게 음악은 금기다. 먼 옛날 조상 중에 음악 때문에 가족을 버린 인물이 있었기 때문. 미구엘은 죽은 자의 날이 되자 실력으로 인정받겠다는 결심을 하고 경연 무대에 오르려 하는데, 우연히 에르네스토의 기타에 손을 댔다가 죽은 자들의 세상에 들어서게 된다. 이승과 저승을 이어주는 마리골드 꽃길을 건너 죽은 자들의 세상에 도착한 미구엘은 거짓말과 위변조가 장기인 헥터를 만난다. 그리고 꿈에 그리던 우상 에르네스토를 만나러 가는 여정에서 가족의 비밀을 알게 된다.",2017-10-27,10751
4,420634,/6PQqC4SbY910VvyVad6mvsboILU.jpg,Terrifier,테리파이어,6.5,"할로윈 밤. 술마시고 진탕 놀다 귀가하던 타라와 돈은 광대 복장의 남자와 맞닥뜨린다. 이들은 할로윈 코스프레를 한 찌질남으로 치부하지만, 그는 수년 전 세상을 떠들썩하게 만든 광대 살인마였고 할로윈 밤에 다시 돌아온 것이었다. 두 사람은 광대 살인마의 표적이 되는데...",2016-10-15,27
5,732459,/kjFDIlUCJkcpFxYKtE6OsGcAfQQ.jpg,Blade of the 47 Ronin,Blade of the 47 Ronin,7.3,,2022-10-25,28
6,717728,/aGBuiirBIQ7o64FmJxO53eYDuro.jpg,Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,5.7,,2022-09-15,27
7,642885,/xpDdvIaTHn38F17pPseL1MQI05B.jpg,Hocus Pocus 2,호커스 포커스 2,7.6,누군가가 검은 불꽃 초에 불을 붙여 17세기에 활동했던 자매들을 되살린 지도 29년이 흘렀다. 이제 자매들은 원수를 갚으려 한다. 핼러윈 전날의 동이 터오기 전에 세일럼에서 대혼란을 일으키려는 마녀들을 막아설 사람은 세 고등학생뿐이다.,2022-09-27,14
8,985939,/8huJowZK1t7MNLEKo3dgLAxmiLW.jpg,Fall,폴: 600미터,7.3,내려갈 길이 끊겨버린 600미터 TV 타워 위에서  두 명의 친구가 살아남기 위해 펼치는 사상 최초의 고공 서바이벌 여기에서,2022-08-11,53
9,575322,/iVwd4NKcvWIfxP36DsCBHd7lqEE.jpg,Звёздный разум,제미나이: 지구 최후의 날,5.6,"치명적인 바이러스로 지구의 식물들이 파괴된 지 3년 후 산소가 부족해지고 과학자들은 전 인류를 구하기 위해 새로운 행성을 찾는 미션을 받고 우주로 떠난다. 하지만, 우주선은 입력한 궤도와는 전혀 다른 방향으로 이끌려가 알 수 없는 행성에 고립되고 비행 멤버들은 상상할 수 없는 존재로부터 공격을 받기 시작하는데…!",2022-01-06,878
10,760161,/vKIhsEVEtLTwTkmLSDNi230Zr3Q.jpg,Orphan: First Kill,오펀: 천사의 탄생,6.8,"엄청난 비밀을 숨긴 사이코패스가 에스토니아의 정신병동을 탈출, 부유한 가족의 실종된 딸 ‘에스더’로 사칭해 미국에 온다. 재회의 기쁨도 잠시, 어딘지 낯선 딸의 정체를 눈치챈 엄마는 가족을 지키기 위해 에스더와 맞서는데...  누구도 상상 못한 충격적인 반전이 기다린다!",2022-07-27,27
